PUB_AREA
pk_area,name
1001A11LCP00001J091C,主实体_主表单
1001A11LCP00001J091D,操作信息
1001A11LCP00001J092S,子实体0
1001A11LCP00001J092T,子实体0
1001A11LCP00001J092U,子实体0
