PUB_BILLACTION
pk_billaction,actionnote
1001A11LCP000007JZXE,保存
1001A11LCP000007JZXF,提交
1001A11LCP000007JZXG,收回
1001A11LCP000007JZXH,审批
1001A11LCP000007JZXI,取消审批
